"","method","Nt","p0","p1","miss0","miss1","ONS","ONS_se","scenario"
"68","RandUCB",200,0.3,0.3,0.5,0.1,41.5685,10.9684701979742,2
"69","RandUCB",200,0.3,0.3,0.5,0.2,38.8228,8.98867508523802,2
"70","RandUCB",200,0.3,0.3,0.5,0.3,35.8813,7.11706931099858,2
"71","RandUCB",200,0.3,0.3,0.5,0.4,33.0246,5.80270298879734,2
"72","RandUCB",200,0.3,0.3,0.5,0.5,30.0013,5.0174909896863,2
"73","RandUCB",200,0.5,0.5,0,0,100.0408,7.16464015613183,3
"74","RandUCB",200,0.5,0.5,0,0.1,95.0167,8.30228365580159,3
"75","RandUCB",200,0.5,0.5,0,0.2,90.2295,11.3632012207915,3
"76","RandUCB",200,0.5,0.5,0,0.3,85.1309,14.9325973439433,3
"77","RandUCB",200,0.5,0.5,0,0.4,80.0893,18.9242579316555,3
"78","RandUCB",200,0.5,0.5,0,0.5,75.4781,22.8411490997984,3
"79","RandUCB",200,0.5,0.5,0.1,0,95.1179,8.2870903926962,3
"80","RandUCB",200,0.5,0.5,0.1,0.1,90.0497,6.99759433967519,3
"81","RandUCB",200,0.5,0.5,0.1,0.2,84.9547,8.28680366736791,3
"82","RandUCB",200,0.5,0.5,0.1,0.3,79.8603,11.1709920336692,3
"83","RandUCB",200,0.5,0.5,0.1,0.4,75.2349,14.9264329908449,3
"84","RandUCB",200,0.5,0.5,0.1,0.5,70.1982,18.6491097827636,3
"85","RandUCB",200,0.5,0.5,0.2,0,89.9325,11.3762157846341,3
"86","RandUCB",200,0.5,0.5,0.2,0.1,84.9862,8.38298496978853,3
"87","RandUCB",200,0.5,0.5,0.2,0.2,79.9856,7.02235886240508,3
"88","RandUCB",200,0.5,0.5,0.2,0.3,75.0651,8.18297978158388,3
"89","RandUCB",200,0.5,0.5,0.2,0.4,69.9628,11.120997429115,3
"90","RandUCB",200,0.5,0.5,0.2,0.5,65.1844,14.6140327642771,3
"91","RandUCB",200,0.5,0.5,0.3,0,85.0151,14.9198167576954,3
"92","RandUCB",200,0.5,0.5,0.3,0.1,79.8965,11.0103637796876,3
"93","RandUCB",200,0.5,0.5,0.3,0.2,75.1153,8.17080669935422,3
"94","RandUCB",200,0.5,0.5,0.3,0.3,69.9988,6.77865721063973,3
"95","RandUCB",200,0.5,0.5,0.3,0.4,65.0558,7.88499230629726,3
"96","RandUCB",200,0.5,0.5,0.3,0.5,60.0442,10.8348689792992,3
"97","RandUCB",200,0.5,0.5,0.4,0,80.1264,18.7886754315584,3
"98","RandUCB",200,0.5,0.5,0.4,0.1,75.227,14.8116578923817,3
"99","RandUCB",200,0.5,0.5,0.4,0.2,69.9202,11.0345733103194,3
"100","RandUCB",200,0.5,0.5,0.4,0.3,64.9932,7.86177680384348,3
"101","RandUCB",200,0.5,0.5,0.4,0.4,60.0598,6.49626385735758,3
"102","RandUCB",200,0.5,0.5,0.4,0.5,55.1003,7.63796267059324,3
"103","RandUCB",200,0.5,0.5,0.5,0,75.3817,22.9787425106496,3
"104","RandUCB",200,0.5,0.5,0.5,0.1,70.3946,18.6500958026318,3
"105","RandUCB",200,0.5,0.5,0.5,0.2,65.1414,14.6077015486507,3
"106","RandUCB",200,0.5,0.5,0.5,0.3,59.9063,10.860419659549,3
"107","RandUCB",200,0.5,0.5,0.5,0.4,55.0348,7.65343363887389,3
"108","RandUCB",200,0.5,0.5,0.5,0.5,50.0392,6.03134322270811,3
"109","RandUCB",200,0.7,0.7,0,0,139.9758,6.48672661071917,4
"110","RandUCB",200,0.7,0.7,0,0.1,133.1425,9.34438470433181,4
"111","RandUCB",200,0.7,0.7,0,0.2,126.2551,14.7798737632243,4
"112","RandUCB",200,0.7,0.7,0,0.3,119.9238,20.7994676697634,4
"113","RandUCB",200,0.7,0.7,0,0.4,113.4337,26.9338439051085,4
"114","RandUCB",200,0.7,0.7,0,0.5,107.6188,33.1726442870161,4
"115","RandUCB",200,0.7,0.7,0.1,0,133.1296,9.34226587253667,4
"116","RandUCB",200,0.7,0.7,0.1,0.1,125.8848,6.83666607055632,4
"117","RandUCB",200,0.7,0.7,0.1,0.2,119.0125,9.55403954969686,4
"118","RandUCB",200,0.7,0.7,0.1,0.3,112.7211,14.748310617037,4
"119","RandUCB",200,0.7,0.7,0.1,0.4,105.7952,20.8314534275741,4
"120","RandUCB",200,0.7,0.7,0.1,0.5,100.2469,26.6146759230213,4
"121","RandUCB",200,0.7,0.7,0.2,0,126.4582,14.7333485642603,4
"122","RandUCB",200,0.7,0.7,0.2,0.1,119.1512,9.50484996079779,4
"123","RandUCB",200,0.7,0.7,0.2,0.2,111.9216,7.04942713149716,4
"124","RandUCB",200,0.7,0.7,0.2,0.3,104.9249,9.51039982127334,4
"125","RandUCB",200,0.7,0.7,0.2,0.4,98.364,14.8723643958273,4
"126","RandUCB",200,0.7,0.7,0.2,0.5,92.1459,20.5275559004263,4
"127","RandUCB",200,0.7,0.7,0.3,0,120.0032,20.7214412523057,4
"128","RandUCB",200,0.7,0.7,0.3,0.1,112.4715,14.8298476117598,4
"129","RandUCB",200,0.7,0.7,0.3,0.2,105.0983,9.59455275947063,4
"130","RandUCB",200,0.7,0.7,0.3,0.3,97.9757,7.04567056122877,4
"131","RandUCB",200,0.7,0.7,0.3,0.4,91.157,9.53945759071827,4
"132","RandUCB",200,0.7,0.7,0.3,0.5,84.3887,14.7240039370816,4
"133","RandUCB",200,0.7,0.7,0.4,0,113.7419,26.8605143866105,4
"134","RandUCB",200,0.7,0.7,0.4,0.1,105.6366,20.8889869409108,4
"135","RandUCB",200,0.7,0.7,0.4,0.2,98.6292,14.8195704838883,4
"136","RandUCB",200,0.7,0.7,0.4,0.3,91.1645,9.49101931800634,4
"137","RandUCB",200,0.7,0.7,0.4,0.4,84.0477,6.98705278358909,4
"138","RandUCB",200,0.7,0.7,0.4,0.5,76.9702,9.47644934926721,4
"139","RandUCB",200,0.7,0.7,0.5,0,107.3044,33.2994238058646,4
"140","RandUCB",200,0.7,0.7,0.5,0.1,100.1427,26.7916837123316,4
"141","RandUCB",200,0.7,0.7,0.5,0.2,92.1708,20.6523674039549,4
"142","RandUCB",200,0.7,0.7,0.5,0.3,84.608,14.708153146364,4
"143","RandUCB",200,0.7,0.7,0.5,0.4,77.2032,9.3348713832797,4
"144","RandUCB",200,0.7,0.7,0.5,0.5,70.1712,6.71971770393683,4
"145","RandUCB",200,0.9,0.9,0,0,180.0364,4.23675229946296,5
"146","RandUCB",200,0.9,0.9,0,0.1,171.3557,10.1927899422425,5
"147","RandUCB",200,0.9,0.9,0,0.2,164.0025,18.3983081701648,5
"148","RandUCB",200,0.9,0.9,0,0.3,157.0804,27.0081039617364,5
"149","RandUCB",200,0.9,0.9,0,0.4,152.0018,35.1637461835989,5
"150","RandUCB",200,0.9,0.9,0,0.5,147.4898,42.9548857312043,5
"151","RandUCB",200,0.9,0.9,0.1,0,171.3757,10.1167279457556,5
"152","RandUCB",200,0.9,0.9,0.1,0.1,161.9378,5.50448554327374,5
"153","RandUCB",200,0.9,0.9,0.1,0.2,153.3844,10.5925094649793,5
"154","RandUCB",200,0.9,0.9,0.1,0.3,146.0265,18.6006611766792,5
"155","RandUCB",200,0.9,0.9,0.1,0.4,139.3937,27.0929751640591,5
"156","RandUCB",200,0.9,0.9,0.1,0.5,134.7334,35.0475670715638,5
"157","RandUCB",200,0.9,0.9,0.2,0,163.6496,18.50904314944,5
"158","RandUCB",200,0.9,0.9,0.2,0.1,153.5769,10.7836781833248,5
"159","RandUCB",200,0.9,0.9,0.2,0.2,144.0055,6.33130936677634,5
"160","RandUCB",200,0.9,0.9,0.2,0.3,135.3328,11.0770986441142,5
"161","RandUCB",200,0.9,0.9,0.2,0.4,128.1893,18.8743765385501,5
"162","RandUCB",200,0.9,0.9,0.2,0.5,121.6013,27.1119096316432,5
"163","RandUCB",200,0.9,0.9,0.3,0,156.7755,27.0103805196369,5
"164","RandUCB",200,0.9,0.9,0.3,0.1,146.0526,18.8133683194358,5
"165","RandUCB",200,0.9,0.9,0.3,0.2,135.6992,10.9610644489203,5
"166","RandUCB",200,0.9,0.9,0.3,0.3,126.0644,6.80788420647244,5
"167","RandUCB",200,0.9,0.9,0.3,0.4,117.625,11.2060757008536,5
"168","RandUCB",200,0.9,0.9,0.3,0.5,110.61,18.8907804539309,5
"169","RandUCB",200,0.9,0.9,0.4,0,151.4825,35.2103716364522,5
"170","RandUCB",200,0.9,0.9,0.4,0.1,139.4633,27.0004362088013,5
"171","RandUCB",200,0.9,0.9,0.4,0.2,128.4868,18.8897831684436,5
"172","RandUCB",200,0.9,0.9,0.4,0.3,117.7316,11.2737248115746,5
"173","RandUCB",200,0.9,0.9,0.4,0.4,108.0144,7.07652459615848,5
"174","RandUCB",200,0.9,0.9,0.4,0.5,99.7867,11.4260079851122,5
"175","RandUCB",200,0.9,0.9,0.5,0,147.8218,42.9616575001654,5
"176","RandUCB",200,0.9,0.9,0.5,0.1,134.376,35.0544191968791,5
"177","RandUCB",200,0.9,0.9,0.5,0.2,122.2183,26.8834952590197,5
"178","RandUCB",200,0.9,0.9,0.5,0.3,110.4799,18.8929693383291,5
"179","RandUCB",200,0.9,0.9,0.5,0.4,99.6732,11.3214671894562,5
"180","RandUCB",200,0.9,0.9,0.5,0.5,90.1207,6.94581571491748,5
"181","RandUCB",526,0.1,0.2,0,0,101.0376,11.8391217039218,6
"182","RandUCB",526,0.1,0.2,0,0.1,91.1982,10.6436481285576,6
"183","RandUCB",526,0.1,0.2,0,0.2,81.6554,9.48305033543355,6
"184","RandUCB",526,0.1,0.2,0,0.3,71.8455,8.66664530392714,6
"185","RandUCB",526,0.1,0.2,0,0.4,62.408,7.59231850820505,6
"186","RandUCB",526,0.1,0.2,0,0.5,52.5475,6.89686163555874,6
"187","RandUCB",526,0.1,0.2,0.1,0,100.1177,12.5881091812582,6
"188","RandUCB",526,0.1,0.2,0.1,0.1,90.5584,11.1976661949185,6
"189","RandUCB",526,0.1,0.2,0.1,0.2,81.1482,9.98498907163528,6
"190","RandUCB",526,0.1,0.2,0.1,0.3,71.3331,8.80600357482871,6
"191","RandUCB",526,0.1,0.2,0.1,0.4,61.705,7.85830454328601,6
"192","RandUCB",526,0.1,0.2,0.1,0.5,52.157,6.98366867504582,6
"193","RandUCB",526,0.1,0.2,0.2,0,99.6276,12.9928133812487,6
"194","RandUCB",526,0.1,0.2,0.2,0.1,89.8323,11.7048228093252,6
"195","RandUCB",526,0.1,0.2,0.2,0.2,80.2188,10.5711542174991,6
"196","RandUCB",526,0.1,0.2,0.2,0.3,70.6191,9.38556466454775,6
"197","RandUCB",526,0.1,0.2,0.2,0.4,61.0697,8.22661592825161,6
"198","RandUCB",526,0.1,0.2,0.2,0.5,51.6724,7.00442606060224,6
"199","RandUCB",526,0.1,0.2,0.3,0,98.4699,13.9257131429114,6
"200","RandUCB",526,0.1,0.2,0.3,0.1,88.7924,12.5185691553536,6
"201","RandUCB",526,0.1,0.2,0.3,0.2,79.0823,11.4541191889486,6
"202","RandUCB",526,0.1,0.2,0.3,0.3,69.9998,9.82941817739843,6
"203","RandUCB",526,0.1,0.2,0.3,0.4,60.3361,8.65833895578981,6
"204","RandUCB",526,0.1,0.2,0.3,0.5,50.7977,7.37635518203788,6
"205","RandUCB",526,0.1,0.2,0.4,0,97.1095,14.7896241685955,6
"206","RandUCB",526,0.1,0.2,0.4,0.1,87.7494,13.4817719702399,6
"207","RandUCB",526,0.1,0.2,0.4,0.2,78.2025,11.97064005692,6
"208","RandUCB",526,0.1,0.2,0.4,0.3,68.7929,10.6969459218604,6
"209","RandUCB",526,0.1,0.2,0.4,0.4,59.5578,9.07980745667798,6
"210","RandUCB",526,0.1,0.2,0.4,0.5,50.1461,7.71491456729613,6
"211","RandUCB",526,0.1,0.2,0.5,0,95.4629,16.0382712972633,6
"212","RandUCB",526,0.1,0.2,0.5,0.1,86.1051,14.5095867205334,6
"213","RandUCB",526,0.1,0.2,0.5,0.2,76.5236,13.4133677681441,6
"214","RandUCB",526,0.1,0.2,0.5,0.3,67.6747,11.6410837722756,6
"215","RandUCB",526,0.1,0.2,0.5,0.4,58.3128,9.91233482072513,6
"216","RandUCB",526,0.1,0.2,0.5,0.5,49.2587,8.35252960396301,6
"217","RandUCB",162,0.1,0.3,0,0,46.189,6.74995075415505,7
"218","RandUCB",162,0.1,0.3,0,0.1,41.6661,6.49567780705119,7
"219","RandUCB",162,0.1,0.3,0,0.2,37.1384,6.08165636109189,7
"220","RandUCB",162,0.1,0.3,0,0.3,32.6284,5.64599868669105,7
"221","RandUCB",162,0.1,0.3,0,0.4,28.1108,5.20492386911166,7
"222","RandUCB",162,0.1,0.3,0,0.5,23.6952,4.6119653058537,7
"223","RandUCB",162,0.1,0.3,0.1,0,45.8588,6.98410626594652,7
"224","RandUCB",162,0.1,0.3,0.1,0.1,41.3625,6.56894274985595,7
"225","RandUCB",162,0.1,0.3,0.1,0.2,36.9217,6.13619869328238,7
"226","RandUCB",162,0.1,0.3,0.1,0.3,32.4026,5.72020850306454,7
"227","RandUCB",162,0.1,0.3,0.1,0.4,27.9567,5.16916793494988,7
"228","RandUCB",162,0.1,0.3,0.1,0.5,23.4842,4.6941829848643,7
"229","RandUCB",162,0.1,0.3,0.2,0,45.3451,7.16270454672272,7
"230","RandUCB",162,0.1,0.3,0.2,0.1,41.0064,6.8487991388976,7
"231","RandUCB",162,0.1,0.3,0.2,0.2,36.5529,6.39073436614086,7
"232","RandUCB",162,0.1,0.3,0.2,0.3,32.1222,5.90355421379659,7
"233","RandUCB",162,0.1,0.3,0.2,0.4,27.64,5.31972085198033,7
"234","RandUCB",162,0.1,0.3,0.2,0.5,23.2438,4.76636479755152,7
"235","RandUCB",162,0.1,0.3,0.3,0,44.8921,7.46844263240572,7
"236","RandUCB",162,0.1,0.3,0.3,0.1,40.6316,6.99072016725356,7
"237","RandUCB",162,0.1,0.3,0.3,0.2,36.1257,6.52323192639021,7
"238","RandUCB",162,0.1,0.3,0.3,0.3,31.6071,6.10948951846368,7
"239","RandUCB",162,0.1,0.3,0.3,0.4,27.3454,5.55476231520646,7
"240","RandUCB",162,0.1,0.3,0.3,0.5,23.0104,4.83115160625127,7
"241","RandUCB",162,0.1,0.3,0.4,0,44.315,7.91889170809833,7
"242","RandUCB",162,0.1,0.3,0.4,0.1,40.0431,7.39670964154685,7
"243","RandUCB",162,0.1,0.3,0.4,0.2,35.6484,6.77334225154212,7
"244","RandUCB",162,0.1,0.3,0.4,0.3,31.2859,6.26977608844366,7
"245","RandUCB",162,0.1,0.3,0.4,0.4,26.9742,5.60525434281307,7
"246","RandUCB",162,0.1,0.3,0.4,0.5,22.5641,5.08893711084071,7
"247","RandUCB",162,0.1,0.3,0.5,0,43.3702,8.48033864738652,7
"248","RandUCB",162,0.1,0.3,0.5,0.1,39.34,7.67509548533899,7
"249","RandUCB",162,0.1,0.3,0.5,0.2,34.9368,7.15985559304176,7
"250","RandUCB",162,0.1,0.3,0.5,0.3,30.8233,6.5291760677755,7
"251","RandUCB",162,0.1,0.3,0.5,0.4,26.5055,5.99594570409778,7
"252","RandUCB",162,0.1,0.3,0.5,0.5,22.2089,5.25341989870058,7
"253","RandUCB",82,0.1,0.4,0,0,30.988,5.12582514414419,8
"254","RandUCB",82,0.1,0.4,0,0.1,27.9131,4.87238364686528,8
"255","RandUCB",82,0.1,0.4,0,0.2,24.8563,4.7063005892658,8
"256","RandUCB",82,0.1,0.4,0,0.3,21.8035,4.39336066261253,8
"257","RandUCB",82,0.1,0.4,0,0.4,18.7372,4.10551113531168,8
"258","RandUCB",82,0.1,0.4,0,0.5,15.7463,3.7173536530465,8
"259","RandUCB",82,0.1,0.4,0.1,0,30.7103,5.20462128480755,8
"260","RandUCB",82,0.1,0.4,0.1,0.1,27.7576,4.97332038295977,8
"261","RandUCB",82,0.1,0.4,0.1,0.2,24.6943,4.72062240997877,8
"262","RandUCB",82,0.1,0.4,0.1,0.3,21.6393,4.52469256350964,8
"263","RandUCB",82,0.1,0.4,0.1,0.4,18.7215,4.18486428201751,8
"264","RandUCB",82,0.1,0.4,0.1,0.5,15.6369,3.74636649517791,8
"265","RandUCB",82,0.1,0.4,0.2,0,30.4378,5.32358574802,8
"266","RandUCB",82,0.1,0.4,0.2,0.1,27.5159,5.03881793267189,8
"267","RandUCB",82,0.1,0.4,0.2,0.2,24.4873,4.81555372369228,8
"268","RandUCB",82,0.1,0.4,0.2,0.3,21.4963,4.54031361854834,8
"269","RandUCB",82,0.1,0.4,0.2,0.4,18.4944,4.267667974315,8
"270","RandUCB",82,0.1,0.4,0.2,0.5,15.4717,3.8586899407449,8
"271","RandUCB",82,0.1,0.4,0.3,0,30.2355,5.53357947446136,8
"272","RandUCB",82,0.1,0.4,0.3,0.1,27.1264,5.31385422689355,8
"273","RandUCB",82,0.1,0.4,0.3,0.2,24.1707,4.99890592190347,8
"274","RandUCB",82,0.1,0.4,0.3,0.3,21.3095,4.69639386780284,8
"275","RandUCB",82,0.1,0.4,0.3,0.4,18.2689,4.31185018236946,8
"276","RandUCB",82,0.1,0.4,0.3,0.5,15.3537,3.89783473502433,8
"277","RandUCB",82,0.1,0.4,0.4,0,29.772,5.79727322434296,8
"278","RandUCB",82,0.1,0.4,0.4,0.1,26.9174,5.41012977574652,8
"279","RandUCB",82,0.1,0.4,0.4,0.2,23.9068,5.12844458431457,8
"280","RandUCB",82,0.1,0.4,0.4,0.3,20.911,4.77080234923912,8
"281","RandUCB",82,0.1,0.4,0.4,0.4,18.1217,4.38465638689774,8
"282","RandUCB",82,0.1,0.4,0.4,0.5,15.1412,4.00018283410529,8
"283","RandUCB",82,0.1,0.4,0.5,0,29.1052,6.19027987384186,8
"284","RandUCB",82,0.1,0.4,0.5,0.1,26.3775,5.70181066105158,8
"285","RandUCB",82,0.1,0.4,0.5,0.2,23.261,5.37845440411813,8
"286","RandUCB",82,0.1,0.4,0.5,0.3,20.5367,5.01132362220249,8
"287","RandUCB",82,0.1,0.4,0.5,0.4,17.6936,4.5770311296075,8
"288","RandUCB",82,0.1,0.4,0.5,0.5,14.8068,4.10888817762246,8
"289","RandUCB",254,0.4,0.6,0,0,145.7431,16.0491389138479,9
"290","RandUCB",254,0.4,0.6,0,0.1,132.3161,12.854847548709,9
"291","RandUCB",254,0.4,0.6,0,0.2,119.1708,9.7061242648559,9
"292","RandUCB",254,0.4,0.6,0,0.3,106.0047,7.9856781187011,9
"293","RandUCB",254,0.4,0.6,0,0.4,92.9767,8.32055769032508,9
"294","RandUCB",254,0.4,0.6,0,0.5,80.1529,10.7490127787426,9
"295","RandUCB",254,0.4,0.6,0.1,0,144.0923,18.8129044341198,9
"296","RandUCB",254,0.4,0.6,0.1,0.1,130.8065,15.082214859579,9
"297","RandUCB",254,0.4,0.6,0.1,0.2,117.6671,11.6216084845591,9
"298","RandUCB",254,0.4,0.6,0.1,0.3,104.4796,8.94370073394016,9
"299","RandUCB",254,0.4,0.6,0.1,0.4,91.574,7.69224551506947,9
"300","RandUCB",254,0.4,0.6,0.1,0.5,78.4576,8.67738047645678,9
"301","RandUCB",254,0.4,0.6,0.2,0,143.0453,21.2192241483365,9
"302","RandUCB",254,0.4,0.6,0.2,0.1,129.5379,17.5000111036783,9
"303","RandUCB",254,0.4,0.6,0.2,0.2,116.2136,13.8667228875594,9
"304","RandUCB",254,0.4,0.6,0.2,0.3,102.9182,10.6807076784102,9
"305","RandUCB",254,0.4,0.6,0.2,0.4,89.999,8.1448163148889,9
"306","RandUCB",254,0.4,0.6,0.2,0.5,77.0525,7.55610039738234,9
"307","RandUCB",254,0.4,0.6,0.3,0,140.8831,24.2523081754126,9
"308","RandUCB",254,0.4,0.6,0.3,0.1,127.8987,19.9992058625715,9
"309","RandUCB",254,0.4,0.6,0.3,0.2,114.3251,16.8045365670977,9
"310","RandUCB",254,0.4,0.6,0.3,0.3,101.333,12.7076378373772,9
"311","RandUCB",254,0.4,0.6,0.3,0.4,88.3777,9.51469892637523,9
"312","RandUCB",254,0.4,0.6,0.3,0.5,75.3517,7.3645794729286,9
"313","RandUCB",254,0.4,0.6,0.4,0,139.1952,26.9440177955979,9
"314","RandUCB",254,0.4,0.6,0.4,0.1,126.0218,22.7898938717641,9
"315","RandUCB",254,0.4,0.6,0.4,0.2,112.7128,19.20412966056,9
"316","RandUCB",254,0.4,0.6,0.4,0.3,99.7438,15.3242567468861,9
"317","RandUCB",254,0.4,0.6,0.4,0.4,86.7716,11.6359431485933,9
"318","RandUCB",254,0.4,0.6,0.4,0.5,73.7515,8.49128717838436,9
"319","RandUCB",254,0.4,0.6,0.5,0,137.2504,30.0029684806648,9
"320","RandUCB",254,0.4,0.6,0.5,0.1,124.0755,25.848950009075,9
"321","RandUCB",254,0.4,0.6,0.5,0.2,111.1371,21.6895999839727,9
"322","RandUCB",254,0.4,0.6,0.5,0.3,97.3203,18.3525090755716,9
"323","RandUCB",254,0.4,0.6,0.5,0.4,84.9822,13.9412380717029,9
"324","RandUCB",254,0.4,0.6,0.5,0.5,71.8797,10.544711802828,9
"325","RandUCB",82,0.6,0.9,0,0,70.7525,6.98494972797015,10
"326","RandUCB",82,0.6,0.9,0,0.1,64.2548,5.64858102595339,10
"327","RandUCB",82,0.6,0.9,0,0.2,57.7638,4.73987934504883,10
"328","RandUCB",82,0.6,0.9,0,0.3,51.3757,4.39791810728302,10
"329","RandUCB",82,0.6,0.9,0,0.4,45.0591,4.90728186795227,10
"330","RandUCB",82,0.6,0.9,0,0.5,39.0281,6.16314114886898,10
"331","RandUCB",82,0.6,0.9,0.1,0,70.095,8.39466628533882,10
"332","RandUCB",82,0.6,0.9,0.1,0.1,63.5836,6.84130772507266,10
"333","RandUCB",82,0.6,0.9,0.1,0.2,57.0536,5.59022826950837,10
"334","RandUCB",82,0.6,0.9,0.1,0.3,50.6294,4.72818053897278,10
"335","RandUCB",82,0.6,0.9,0.1,0.4,44.3091,4.5477274954132,10
"336","RandUCB",82,0.6,0.9,0.1,0.5,38.2087,5.2778527720076,10
"337","RandUCB",82,0.6,0.9,0.2,0,69.5616,9.52046581669913,10
"338","RandUCB",82,0.6,0.9,0.2,0.1,62.9386,8.18378442242629,10
